,매장명,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,커피가 맛있어요,음료가 맛있어요,친절해요,화장실이 깨끗해요,가성비가 좋아요,주차하기 편해요,동물을 배려한 환경이에요,시설이 깔끔해요,공간이 넓어요,가격이 합리적이에요,리뷰자수,별점,별점자수
0,펫타리움,31,86,103,14,57,97,8,0,22,158,92,39,29,179,0,0
1,강아지똥 애견카페,1,2,3,2,14,16,2,0,7,22,11,1,8,35,4.53,87
2,카페더왈츠,3,6,5,4,15,9,0,0,0,18,10,0,7,32,4.42,53
3,봉브라더스,4,3,3,4,10,18,2,0,0,37,17,9,6,39,4.35,75
4,전설의 강아지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,37
5,반려문화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,20
6,다독인더 시티,1,4,2,2,0,10,2,0,3,13,6,4,4,19,4.3,36
7,두젠틀,2,19,7,7,10,26,5,0,4,36,24,13,12,43,4.62,61
8,어야가자애견카페,0,1,2,0,1,3,2,0,0,16,8,1,1,16,4.5,21
9,개러리아 삼성본점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,5
10,글램독 그라운드 삼성점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,멍돌핀 애견카페,0,20,20,6,2,54,12,14,0,60,54,16,0,67,0,0
12,드도그카페,7,15,8,2,8,10,3,0,0,15,12,6,6,32,0,0
13,감성놀이터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,10
14,두젠틀장승배기역점,5,7,33,3,7,51,12,0,1,65,45,17,35,32,4.36,57
15,웰컴댕댕,27,31,25,11,49,68,12,0,4,80,82,7,31,86,0,0
