,매장명,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,커피가 맛있어요,음료가 맛있어요,친절해요,화장실이 깨끗해요,가성비가 좋아요,주차하기 편해요,동물을 배려한 환경이에요,시설이 깔끔해요,공간이 넓어요,가격이 합리적이에요,최종점수
0,펫타리움,31,86,103,14,57,97,8,0,22,158,92,39,29,0.7101
1,강아지똥 애견카페,1,2,3,2,14,16,2,0,7,22,11,1,8,0.6795
2,카페더왈츠,3,6,5,4,15,9,0,0,0,18,10,0,7,0.4039
3,봉브라더스,4,3,3,4,10,18,2,0,0,37,17,9,6,0.5625
4,전설의 강아지,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3075
5,반려문화,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1466
6,다독인더 시티,1,4,2,2,0,10,2,0,3,13,6,4,4,0.2669
7,두젠틀,2,19,7,7,10,26,5,0,4,36,24,13,12,0.4859
8,어야가자애견카페,0,1,2,0,1,3,2,0,0,16,8,1,1,0.1629
9,개러리아 삼성본점,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405
10,글램독 그라운드 삼성점,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297
11,멍돌핀 애견카페,0,20,20,6,2,54,12,14,0,60,54,16,0,0.2472
12,드도그카페,7,15,8,2,8,10,3,0,0,15,12,6,6,0.1026
13,감성놀이터,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845
14,두젠틀장승배기역점,5,7,33,3,7,51,12,0,1,65,45,17,35,0.4285
15,웰컴댕댕,27,31,25,11,49,68,12,0,4,80,82,7,31,0.3257
